data;
set N := 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20;
set O := 2;
set D := 17;
param: A: c:=
1,2 3
1,3 1
1,4 21
1,5 1
1,6 10000
1,7 63
1,8 88
1,10 46
2,1 5
2,3 1
2,4 1
2,5 5
2,6 42
2,7 69
2,8 87
2,10 10000
3,1 9
3,2 8
3,4 4
3,5 9
3,6 55
3,7 72
3,8 10000
3,10 26
4,1 31
4,2 6
4,3 1
4,5 5
4,6 29
4,7 20
4,8 86
4,10 18
5,1 1
5,2 5
5,3 1
5,4 1
5,6 32
5,7 80
5,8 88
5,10 18
6,1 10000
6,2 26
6,3 25
6,4 2
6,5 18
6,7 4
6,8 5
6,9 10000
6,10 6
7,1 40
7,2 39
7,3 41
7,4 21
7,5 55
7,6 1
7,8 1
7,9 1
7,10 10
7,16 10000
8,1 70
8,2 55
8,3 10000
8,4 41
8,5 59
8,6 9
8,7 7
8,9 1
8,10 7
8,16 10000
9,6 10000
9,7 47
9,8 10000
9,10 10
10,1 33
10,2 10000
10,3 13
10,4 13
10,5 22
10,6 13
10,7 8
10,8 3
10,9 1
16,8 10000
16,17 2
16,18 44
16,19 44
16,20 3
17,16 5
17,18 25
17,19 14
17,20 1
18,16 12
18,17 3
18,19 9
18,20 3
19,16 8
19,17 1
19,18 6
19,20 1
20,16 7
20,17 1
20,18 9
20,19 7
;
end;
