data;
set N := 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;
set O := 30;
set D := 54;
param: A: c1 c2 :=
1,2 5 1
1,3 2 1
1,4 21 1
1,5 2 1
1,6 10000 1
1,7 48 10000
1,8 10000 10000
1,10 51 28
2,1 10 8
2,3 9 10
2,4 8 9
2,5 7 8
2,6 35 13
2,7 44 10000
2,8 10000 10000
2,10 10000 66
3,1 1 1
3,2 5 1
3,4 1 1
3,5 1 1
3,6 51 1
3,7 38 1
3,8 10000 2
3,10 12 53
4,1 29 2
4,2 5 1
4,3 1 1
4,5 1 1
4,6 24 2
4,7 22 1
4,8 80 10000
4,10 17 3
5,1 3 3
5,2 1 1
5,3 2 2
5,4 1 1
5,6 26 3
5,7 70 1
5,8 87 3
5,10 12 1
6,1 10000 1
6,2 30 1
6,3 35 1
6,4 4 1
6,5 19 2
6,7 3 1
6,8 4 1
6,9 10000 1
6,10 9 1
7,1 36 10000
7,2 32 10000
7,3 36 8
7,4 24 8
7,5 43 6
7,6 6 6
7,8 6 7
7,9 1 13
7,10 9 1
8,1 57 10000
8,2 50 10000
8,3 10000 16
8,4 34 10000
8,5 38 1
8,6 3 1
8,7 2 1
8,9 1 1
8,10 3 5
9,6 10000 14
9,7 29 10000
9,8 86 55
9,10 11 6
10,1 28 5
10,2 10000 1
10,3 17 43
10,4 17 6
10,5 14 1
10,6 11 4
10,7 6 1
10,8 8 5
10,9 1 1
;
end;
