data;
set N := 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33, 34, 35, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100;
set O := 1;
set D := 34;
param: A: c1 c2 :=
1,2 9 8
1,3 9 4
1,4 44 8
1,5 5 7
1,6 10000 17
1,7 65 10000
1,8 10000 10000
1,10 59 81
1,26 35 26
1,27 31 15
1,29 39 20
1,32 10000 90
1,51 48 9
1,52 30 20
1,53 63 86
1,54 10000 32
1,55 54 24
1,56 15 10
1,57 8 8
1,58 9 8
1,59 84 29
1,60 24 20
1,76 10000 4
1,77 58 5
1,78 49 5
1,79 38 5
1,80 52 1
1,81 19 2
1,82 32 5
1,83 10000 35
1,84 10000 10000
1,85 50 6
2,1 7 8
2,3 5 6
2,4 8 11
2,5 4 7
2,6 46 16
2,7 67 67
2,8 10000 90
2,10 10000 50
2,26 33 34
2,27 17 75
2,29 32 24
2,31 10000 30
2,32 56 33
2,33 10000 37
2,34 10000 10000
2,35 10000 80
2,51 31 14
2,52 39 19
2,53 31 10000
2,54 54 17
2,55 10000 32
2,56 2 10
2,57 5 13
2,58 2 11
2,59 11 14
2,60 5 11
2,76 85 10000
2,77 47 19
2,78 36 12
2,79 54 10000
2,80 47 11
2,81 2 8
2,82 12 10
2,83 5 18
2,84 4 11
2,85 5 14
3,1 11 15
3,2 13 15
3,4 18 16
3,5 10 17
3,6 70 22
3,7 60 23
3,8 10000 33
3,10 32 10000
3,26 38 34
3,27 41 25
3,29 46 32
3,31 70 10000
3,32 66 90
3,33 83 10000
3,34 10000 38
3,35 10000 43
3,51 24 18
3,52 40 21
3,53 35 54
3,54 45 16
3,55 57 74
3,56 13 18
3,57 15 17
3,58 7 9
3,59 20 23
3,60 14 17
3,76 54 10000
3,77 64 14
3,78 58 13
3,79 46 12
3,80 10000 37
3,81 15 10
3,82 18 10
3,83 20 28
3,84 86 21
3,85 21 11
4,1 39 1
4,2 6 5
4,3 2 2
4,5 1 5
4,6 13 9
4,7 24 15
4,8 90 68
4,10 16 14
4,26 40 23
4,27 42 88
4,29 29 25
4,31 72 16
4,32 21 8
4,33 10000 83
4,34 10000 17
4,35 83 19
4,51 22 9
4,52 12 9
4,53 16 6
4,54 39 11
4,55 22 10
4,56 4 10
4,57 1 2
4,58 9 5
4,59 6 10
4,60 40 11
4,61 10000 37
4,76 39 6
4,77 43 4
4,78 25 8
4,79 37 22
